Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.65612,1.5,0,0,0,-0.251278,0.378488,-0.191677,0.0330617,1.5,0,0,0,-1.02996,1.32405,-0.613658,0.0999061,1,0,0,0,0.00961024,-0.0140979,0.00694003,-0.00116615,0,0,0,0,0,0,0,0
1.62548,1.5,0.117692,0.078027,0.00805848,0.586934,-0.858513,0.430123,-0.074083,1,-0.353693,0.0864265,0.0483125,0.0686335,0.0309309,-0.0667366,0.0180078,1,-0.00531277,-0.00420976,0.000430242,-0.00280065,0.0125621,-0.00836789,0.00164298,0,0,0,0,0,0,0,0
1.58168,2,0.2713,-0.0624147,-0.0146978,-0.27898,0.291747,-0.109365,0.0143566,1,0.350264,0.0413335,-0.0205835,0.353538,-0.62804,0.357977,-0.0676975,1,0.0171892,0.00827384,-0.00318983,0.017783,-0.049266,0.0317905,-0.00632444,0,0,0,0,0,0,0,0
1.56579,2,-0.244641,-0.0581398,0.00879929,-0.808024,1.3104,-0.714823,0.132172,1.5,0.111218,-0.0672147,0.00492758,-0.223696,0.33083,-0.167957,0.0293739,1,-0.045771,-0.0196252,0.00730022,-0.330359,0.599939,-0.345552,0.0660186,0,0,0,0,0,0,0,0
1.56579,1.5,-0.118351,0.0741972,-0.000649292,0.253729,-0.390388,0.202579,-0.0359864,1.5,-0.00957701,0.0276012,-0.000723551,0.164696,-0.285005,0.156626,-0.0288472,1,0.201241,0.078244,0.00541191,0.645409,-1.04479,0.5637,-0.103187,0,0,0,0,0,0,0,0
1.58168,1.5,1.17716e-16,-0.0303485,7.08039e-15,-0.262411,0.458862,-0.25545,0.0474692,1.5,-0.0961497,-0.0737034,-0.000226686,-0.862451,1.27089,-0.651169,0.115079,1.5,0.184079,-0.0799849,0.00345293,-0.410875,0.577494,-0.284582,0.048693,0,0,0,0,0,0,0,0
1.56579,1.5,0.140094,0.0741972,0.00149477,0.732867,-1.11268,0.58145,-0.104383,1,-0.274836,0.0595013,0.0130479,0.200738,-0.142721,0.0198162,0.00342329,1.5,-0.0405679,0.0261708,-0.00388673,0.11766,-0.175246,0.0895015,-0.0157124,0,0,0,0,0,0,0,0
1.58168,2,0.262957,-0.0581398,-0.00599798,-0.288459,0.292199,-0.106227,0.0132978,1,0.272666,0.0581053,0.0128147,0.416267,-0.728314,0.404807,-0.0751509,1.5,-0.0140226,-0.0245134,0.00262791,-0.0488912,0.115569,-0.070261,0.0135339,0,0,0,0,0,0,0,0
1.62548,2,-0.239663,-0.0624147,-0.0146978,-0.745891,1.21799,-0.650735,0.11695,1.5,0.156882,-0.0712071,1.4872e-05,-0.41819,0.607695,-0.304431,0.052428,1.5,0.0810022,0.044458,-0.0112329,0.0291366,-0.154616,0.109804,-0.0225179,0,0,0,0,0,0,0,0
1.65612,1.5,-0.063811,0.078027,-0.00306129,0.00387211,-0.0448572,0.0315019,-0.00628241,1.5,-0.00479746,0.0132211,-0.00184537,-0.0226236,0.0254782,-0.0108749,0.00167441,1.5,-0.191263,-0.0565734,0.0227217,-1.33281,2.02775,-1.0509,0.184816,0,0,0,0,0,0,0,0
